nohup: ignoring input
cuda:2
Namespace(adapter_lr=0.0006, batch_size=100, clip_bound=2.3, clipping_style='all-layer', cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.0006, epochs=55, epsilon=8, feature_dim=128, global_lr=1.06, image_size=224, instance_temperature=0.5, learning_rate=0.004, local_epoch=6, mini_bs=100, miu=0.5, model_path='save/Cifar-10-DPFL-ResNet18-fedx', model_temperature=0.5, momentum=0.3, n_clients=600, project_lr=0.0006, r_conv=6, r_proj=16, reload=False, resnet='ResNet18', resnet_lr=0.006, sample_ratio=1, seed=17, start_epoch=0, test_image_size=256, weight_decay=1e-05, workers=4)
save/Img-10-pretrain-transform/checkpoint_532.tar
resnet.conv1.weight 9408 torch.Size([64, 3, 7, 7])
resnet.bn1.weight 64 torch.Size([64])
resnet.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn1.weight 64 torch.Size([64])
resnet.layer1.0.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn2.weight 64 torch.Size([64])
resnet.layer1.0.bn2.bias 64 torch.Size([64])
resnet.layer1.1.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn1.weight 64 torch.Size([64])
resnet.layer1.1.bn1.bias 64 torch.Size([64])
resnet.layer1.1.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn2.weight 64 torch.Size([64])
resnet.layer1.1.bn2.bias 64 torch.Size([64])
resnet.layer2.0.conv1.weight 73728 torch.Size([128, 64, 3, 3])
resnet.layer2.0.bn1.weight 128 torch.Size([128])
resnet.layer2.0.bn1.bias 128 torch.Size([128])
resnet.layer2.0.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.0.bn2.weight 128 torch.Size([128])
resnet.layer2.0.bn2.bias 128 torch.Size([128])
resnet.layer2.0.downsample.0.weight 8192 torch.Size([128, 64, 1, 1])
resnet.layer2.0.downsample.1.weight 128 torch.Size([128])
resnet.layer2.0.downsample.1.bias 128 torch.Size([128])
resnet.layer2.1.conv1.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn1.weight 128 torch.Size([128])
resnet.layer2.1.bn1.bias 128 torch.Size([128])
resnet.layer2.1.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn2.weight 128 torch.Size([128])
resnet.layer2.1.bn2.bias 128 torch.Size([128])
resnet.layer3.0.conv1.weight 294912 torch.Size([256, 128, 3, 3])
resnet.layer3.0.bn1.weight 256 torch.Size([256])
resnet.layer3.0.bn1.bias 256 torch.Size([256])
resnet.layer3.0.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.0.bn2.weight 256 torch.Size([256])
resnet.layer3.0.bn2.bias 256 torch.Size([256])
resnet.layer3.0.downsample.0.weight 32768 torch.Size([256, 128, 1, 1])
resnet.layer3.0.downsample.1.weight 256 torch.Size([256])
resnet.layer3.0.downsample.1.bias 256 torch.Size([256])
resnet.layer3.1.conv1.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn1.weight 256 torch.Size([256])
resnet.layer3.1.bn1.bias 256 torch.Size([256])
resnet.layer3.1.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn2.weight 256 torch.Size([256])
resnet.layer3.1.bn2.bias 256 torch.Size([256])
resnet.layer4.0.conv1.weight 1179648 torch.Size([512, 256, 3, 3])
resnet.layer4.0.bn1.weight 512 torch.Size([512])
resnet.layer4.0.bn1.bias 512 torch.Size([512])
resnet.layer4.0.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.0.bn2.weight 512 torch.Size([512])
resnet.layer4.0.bn2.bias 512 torch.Size([512])
resnet.layer4.0.downsample.0.weight 131072 torch.Size([512, 256, 1, 1])
resnet.layer4.0.downsample.1.weight 512 torch.Size([512])
resnet.layer4.0.downsample.1.bias 512 torch.Size([512])
resnet.layer4.1.conv1.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn1.weight 512 torch.Size([512])
resnet.layer4.1.bn1.bias 512 torch.Size([512])
resnet.layer4.1.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn2.weight 512 torch.Size([512])
resnet.layer4.1.bn2.bias 512 torch.Size([512])
instance_projector.0.weight 262144 torch.Size([512, 512])
instance_projector.0.bias 512 torch.Size([512])
instance_projector.2.weight 65536 torch.Size([128, 512])
instance_projector.2.bias 128 torch.Size([128])
cluster_projector.0.weight 262144 torch.Size([512, 512])
cluster_projector.0.bias 512 torch.Size([512])
cluster_projector.2.weight 5120 torch.Size([10, 512])
cluster_projector.2.bias 10 torch.Size([10])
sigma: 3.857421875
Number of total parameters:  11772618
Number of trainable p  arameters:  605706
betas (0.8, 0.888)
Norm:  tensor(2.7670, device='cuda:2')
Round:  0 User: 0 Train Loss: 9.563
Norm:  tensor(2.8893, device='cuda:2')
Round:  0 User: 1 Train Loss: 9.519
Norm:  tensor(2.8673, device='cuda:2')
Round:  0 User: 2 Train Loss: 9.459
Norm:  tensor(2.8383, device='cuda:2')
Round:  0 User: 3 Train Loss: 9.563
Norm:  tensor(2.9597, device='cuda:2')
Round:  0 User: 4 Train Loss: 9.525
Norm:  tensor(2.9498, device='cuda:2')
Round:  0 User: 5 Train Loss: 9.446
Norm:  tensor(2.8956, device='cuda:2')
Round:  0 User: 6 Train Loss: 9.513
Norm:  tensor(2.8067, device='cuda:2')
Round:  0 User: 7 Train Loss: 9.713
Norm:  tensor(2.7363, device='cuda:2')
Round:  0 User: 8 Train Loss: 9.447
Norm:  tensor(2.8465, device='cuda:2')
Round:  0 User: 9 Train Loss: 9.778
Norm:  tensor(2.9209, device='cuda:2')
Round:  0 User: 10 Train Loss: 9.556
Norm:  tensor(2.9487, device='cuda:2')
Round:  0 User: 11 Train Loss: 9.698
Norm:  tensor(2.9124, device='cuda:2')
Round:  0 User: 12 Train Loss: 9.561
Norm:  tensor(2.8307, device='cuda:2')
Round:  0 User: 13 Train Loss: 9.432
Norm:  tensor(2.8044, device='cuda:2')
Round:  0 User: 14 Train Loss: 9.614
Norm:  tensor(2.7627, device='cuda:2')
Round:  0 User: 15 Train Loss: 9.510
Norm:  tensor(2.9349, device='cuda:2')
Round:  0 User: 16 Train Loss: 9.373
Norm:  tensor(2.7839, device='cuda:2')
Round:  0 User: 17 Train Loss: 9.387
Norm:  tensor(2.8656, device='cuda:2')
Round:  0 User: 18 Train Loss: 9.448
Norm:  tensor(2.8459, device='cuda:2')
Round:  0 User: 19 Train Loss: 9.488
Norm:  tensor(2.8034, device='cuda:2')
Round:  0 User: 20 Train Loss: 9.689
Norm:  tensor(2.7746, device='cuda:2')
Round:  0 User: 21 Train Loss: 9.641
Norm:  tensor(2.9607, device='cuda:2')
Round:  0 User: 22 Train Loss: 9.548
Norm:  tensor(2.8260, device='cuda:2')
Round:  0 User: 23 Train Loss: 9.489
Norm:  tensor(3.0068, device='cuda:2')
Round:  0 User: 24 Train Loss: 9.472
Norm:  tensor(2.8567, device='cuda:2')
Round:  0 User: 25 Train Loss: 9.568
Norm:  tensor(2.7381, device='cuda:2')
Round:  0 User: 26 Train Loss: 9.654
Norm:  tensor(2.8328, device='cuda:2')
Round:  0 User: 27 Train Loss: 9.465
Norm:  tensor(2.8830, device='cuda:2')
Round:  0 User: 28 Train Loss: 9.516
Norm:  tensor(2.5779, device='cuda:2')
Round:  0 User: 29 Train Loss: 9.840
Norm:  tensor(2.8284, device='cuda:2')
Round:  0 User: 30 Train Loss: 9.642
Norm:  tensor(2.7931, device='cuda:2')
Round:  0 User: 31 Train Loss: 9.639
Norm:  tensor(2.8146, device='cuda:2')
Round:  0 User: 32 Train Loss: 9.436
Norm:  tensor(3.0001, device='cuda:2')
Round:  0 User: 33 Train Loss: 9.522
Norm:  tensor(2.8078, device='cuda:2')
Round:  0 User: 34 Train Loss: 9.486
Norm:  tensor(2.8442, device='cuda:2')
Round:  0 User: 35 Train Loss: 9.491
Norm:  tensor(2.9318, device='cuda:2')
Round:  0 User: 36 Train Loss: 9.370
Norm:  tensor(2.8614, device='cuda:2')
Round:  0 User: 37 Train Loss: 9.756
Norm:  tensor(2.9631, device='cuda:2')
Round:  0 User: 38 Train Loss: 9.384
Norm:  tensor(2.7854, device='cuda:2')
Round:  0 User: 39 Train Loss: 9.553
Norm:  tensor(2.8971, device='cuda:2')
Round:  0 User: 40 Train Loss: 9.467
Norm:  tensor(2.8021, device='cuda:2')
Round:  0 User: 41 Train Loss: 9.440
Norm:  tensor(2.9696, device='cuda:2')
Round:  0 User: 42 Train Loss: 9.448
Norm:  tensor(2.7457, device='cuda:2')
Round:  0 User: 43 Train Loss: 9.473
Norm:  tensor(2.8608, device='cuda:2')
Round:  0 User: 44 Train Loss: 9.459
Norm:  tensor(2.9150, device='cuda:2')
Round:  0 User: 45 Train Loss: 9.441
Norm:  tensor(2.9265, device='cuda:2')
Round:  0 User: 46 Train Loss: 9.402
Norm:  tensor(2.7254, device='cuda:2')
Round:  0 User: 47 Train Loss: 9.534
Norm:  tensor(2.7829, device='cuda:2')
Round:  0 User: 48 Train Loss: 9.482
Norm:  tensor(2.8159, device='cuda:2')
Round:  0 User: 49 Train Loss: 9.738
Norm:  tensor(2.9153, device='cuda:2')
Round:  0 User: 50 Train Loss: 9.603
Norm:  tensor(2.9423, device='cuda:2')
Round:  0 User: 51 Train Loss: 9.454
Norm:  tensor(3.0063, device='cuda:2')
Round:  0 User: 52 Train Loss: 9.337
Norm:  tensor(2.8468, device='cuda:2')
Round:  0 User: 53 Train Loss: 9.544
Norm:  tensor(2.7306, device='cuda:2')
Round:  0 User: 54 Train Loss: 9.763
Norm:  tensor(3.0296, device='cuda:2')
Round:  0 User: 55 Train Loss: 9.400
Norm:  tensor(2.8657, device='cuda:2')
Round:  0 User: 56 Train Loss: 9.557
Norm:  tensor(2.8174, device='cuda:2')
Round:  0 User: 57 Train Loss: 9.434
Norm:  tensor(2.9854, device='cuda:2')
Round:  0 User: 58 Train Loss: 9.378
Norm:  tensor(2.7617, device='cuda:2')
Round:  0 User: 59 Train Loss: 9.559
Norm:  tensor(2.8605, device='cuda:2')
Round:  0 User: 60 Train Loss: 9.571
Norm:  tensor(2.6418, device='cuda:2')
Round:  0 User: 61 Train Loss: 9.656
Norm:  tensor(2.8593, device='cuda:2')
Round:  0 User: 62 Train Loss: 9.515
Norm:  tensor(2.8762, device='cuda:2')
Round:  0 User: 63 Train Loss: 9.477
Norm:  tensor(2.8715, device='cuda:2')
Round:  0 User: 64 Train Loss: 9.613
Norm:  tensor(2.8464, device='cuda:2')
Round:  0 User: 65 Train Loss: 9.428
Norm:  tensor(2.7889, device='cuda:2')
Round:  0 User: 66 Train Loss: 9.401
Norm:  tensor(2.9075, device='cuda:2')
Round:  0 User: 67 Train Loss: 9.486
Norm:  tensor(2.8558, device='cuda:2')
Round:  0 User: 68 Train Loss: 9.545
Norm:  tensor(2.8023, device='cuda:2')
Round:  0 User: 69 Train Loss: 9.683
Norm:  tensor(2.7779, device='cuda:2')
Round:  0 User: 70 Train Loss: 9.522
Norm:  tensor(2.8339, device='cuda:2')
Round:  0 User: 71 Train Loss: 9.468
Norm:  tensor(2.9115, device='cuda:2')
Round:  0 User: 72 Train Loss: 9.368
Norm:  tensor(2.8989, device='cuda:2')
Round:  0 User: 73 Train Loss: 9.489
Norm:  tensor(2.8242, device='cuda:2')
Round:  0 User: 74 Train Loss: 9.483
Norm:  tensor(2.8168, device='cuda:2')
Round:  0 User: 75 Train Loss: 9.558
Norm:  tensor(2.8826, device='cuda:2')
Round:  0 User: 76 Train Loss: 9.476
Norm:  tensor(2.9529, device='cuda:2')
Round:  0 User: 77 Train Loss: 9.588
Norm:  tensor(2.7720, device='cuda:2')
Round:  0 User: 78 Train Loss: 9.438
Norm:  tensor(2.9361, device='cuda:2')
Round:  0 User: 79 Train Loss: 9.548
Norm:  tensor(2.8965, device='cuda:2')
Round:  0 User: 80 Train Loss: 9.434
Norm:  tensor(2.9910, device='cuda:2')
Round:  0 User: 81 Train Loss: 9.562
Norm:  tensor(2.8786, device='cuda:2')
Round:  0 User: 82 Train Loss: 9.467
Norm:  tensor(2.8140, device='cuda:2')
Round:  0 User: 83 Train Loss: 9.659
Norm:  tensor(2.8785, device='cuda:2')
Round:  0 User: 84 Train Loss: 9.439
Norm:  tensor(2.8241, device='cuda:2')
Round:  0 User: 85 Train Loss: 9.514
Norm:  tensor(2.7594, device='cuda:2')
Round:  0 User: 86 Train Loss: 9.618
Norm:  tensor(2.8120, device='cuda:2')
Round:  0 User: 87 Train Loss: 9.699
Norm:  tensor(2.9162, device='cuda:2')
Round:  0 User: 88 Train Loss: 9.505
Norm:  tensor(2.7479, device='cuda:2')
Round:  0 User: 89 Train Loss: 9.497
Norm:  tensor(2.7237, device='cuda:2')
Round:  0 User: 90 Train Loss: 9.344
Norm:  tensor(2.8510, device='cuda:2')
Round:  0 User: 91 Train Loss: 9.479
Norm:  tensor(2.9242, device='cuda:2')
Round:  0 User: 92 Train Loss: 9.473
Norm:  tensor(2.8947, device='cuda:2')
Round:  0 User: 93 Train Loss: 9.571
Norm:  tensor(2.9055, device='cuda:2')
Round:  0 User: 94 Train Loss: 9.404
Norm:  tensor(2.8421, device='cuda:2')
Round:  0 User: 95 Train Loss: 9.565
Norm:  tensor(2.8951, device='cuda:2')
Round:  0 User: 96 Train Loss: 9.668
Norm:  tensor(2.6209, device='cuda:2')
Round:  0 User: 97 Train Loss: 9.584
Norm:  tensor(2.8618, device='cuda:2')
Round:  0 User: 98 Train Loss: 9.545
Norm:  tensor(2.7787, device='cuda:2')
Round:  0 User: 99 Train Loss: 9.636
Norm:  tensor(2.8860, device='cuda:2')
Round:  0 User: 100 Train Loss: 9.474
