nohup: ignoring input
cuda:2
Namespace(adapter_lr=0.0006, batch_size=100, clip_bound=2.3, clipping_style='all-layer', cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.0006, epochs=55, epsilon=8, feature_dim=128, global_lr=1.03, image_size=224, instance_temperature=0.5, learning_rate=0.004, local_epoch=6, mini_bs=100, miu_cm=0.5, model_path='save/Cifar-10-DPFL-ResNet18-adam3', model_temperature=0.5, momentum=0.3, n_clients=600, project_lr=0.0008, r_conv=6, r_proj=16, reload=False, resnet='ResNet18', resnet_lr=0.006, sample_ratio=1, seed=17, start_epoch=0, test_image_size=256, weight_decay=1e-05, workers=8)
save/Img-10-pretrain-transform/checkpoint_532.tar
resnet.conv1.weight 9408 torch.Size([64, 3, 7, 7])
resnet.bn1.weight 64 torch.Size([64])
resnet.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn1.weight 64 torch.Size([64])
resnet.layer1.0.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn2.weight 64 torch.Size([64])
resnet.layer1.0.bn2.bias 64 torch.Size([64])
resnet.layer1.1.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn1.weight 64 torch.Size([64])
resnet.layer1.1.bn1.bias 64 torch.Size([64])
resnet.layer1.1.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn2.weight 64 torch.Size([64])
resnet.layer1.1.bn2.bias 64 torch.Size([64])
resnet.layer2.0.conv1.weight 73728 torch.Size([128, 64, 3, 3])
resnet.layer2.0.bn1.weight 128 torch.Size([128])
resnet.layer2.0.bn1.bias 128 torch.Size([128])
resnet.layer2.0.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.0.bn2.weight 128 torch.Size([128])
resnet.layer2.0.bn2.bias 128 torch.Size([128])
resnet.layer2.0.downsample.0.weight 8192 torch.Size([128, 64, 1, 1])
resnet.layer2.0.downsample.1.weight 128 torch.Size([128])
resnet.layer2.0.downsample.1.bias 128 torch.Size([128])
resnet.layer2.1.conv1.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn1.weight 128 torch.Size([128])
resnet.layer2.1.bn1.bias 128 torch.Size([128])
resnet.layer2.1.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn2.weight 128 torch.Size([128])
resnet.layer2.1.bn2.bias 128 torch.Size([128])
resnet.layer3.0.conv1.weight 294912 torch.Size([256, 128, 3, 3])
resnet.layer3.0.bn1.weight 256 torch.Size([256])
resnet.layer3.0.bn1.bias 256 torch.Size([256])
resnet.layer3.0.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.0.bn2.weight 256 torch.Size([256])
resnet.layer3.0.bn2.bias 256 torch.Size([256])
resnet.layer3.0.downsample.0.weight 32768 torch.Size([256, 128, 1, 1])
resnet.layer3.0.downsample.1.weight 256 torch.Size([256])
resnet.layer3.0.downsample.1.bias 256 torch.Size([256])
resnet.layer3.1.conv1.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn1.weight 256 torch.Size([256])
resnet.layer3.1.bn1.bias 256 torch.Size([256])
resnet.layer3.1.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn2.weight 256 torch.Size([256])
resnet.layer3.1.bn2.bias 256 torch.Size([256])
resnet.layer4.0.conv1.weight 1179648 torch.Size([512, 256, 3, 3])
resnet.layer4.0.bn1.weight 512 torch.Size([512])
resnet.layer4.0.bn1.bias 512 torch.Size([512])
resnet.layer4.0.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.0.bn2.weight 512 torch.Size([512])
resnet.layer4.0.bn2.bias 512 torch.Size([512])
resnet.layer4.0.downsample.0.weight 131072 torch.Size([512, 256, 1, 1])
resnet.layer4.0.downsample.1.weight 512 torch.Size([512])
resnet.layer4.0.downsample.1.bias 512 torch.Size([512])
resnet.layer4.1.conv1.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn1.weight 512 torch.Size([512])
resnet.layer4.1.bn1.bias 512 torch.Size([512])
resnet.layer4.1.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn2.weight 512 torch.Size([512])
resnet.layer4.1.bn2.bias 512 torch.Size([512])
instance_projector.0.weight 262144 torch.Size([512, 512])
instance_projector.0.bias 512 torch.Size([512])
instance_projector.2.weight 65536 torch.Size([128, 512])
instance_projector.2.bias 128 torch.Size([128])
cluster_projector.0.weight 262144 torch.Size([512, 512])
cluster_projector.0.bias 512 torch.Size([512])
cluster_projector.2.weight 5120 torch.Size([10, 512])
cluster_projector.2.bias 10 torch.Size([10])
sigma: 3.857421875
Number of total parameters:  11772618
Number of trainable p  arameters:  605706
betas (0.8, 0.888)
Norm:  tensor(3.0484, device='cuda:2')
Round:  0 User: 0 Train Loss: 7.052
Norm:  tensor(3.1572, device='cuda:2')
Round:  0 User: 1 Train Loss: 7.060
Norm:  tensor(3.2053, device='cuda:2')
Round:  0 User: 2 Train Loss: 7.026
Norm:  tensor(3.1964, device='cuda:2')
Round:  0 User: 3 Train Loss: 7.090
Norm:  tensor(3.2507, device='cuda:2')
Round:  0 User: 4 Train Loss: 6.994
Norm:  tensor(3.2568, device='cuda:2')
Round:  0 User: 5 Train Loss: 7.061
Norm:  tensor(3.2377, device='cuda:2')
Round:  0 User: 6 Train Loss: 7.014
Norm:  tensor(3.2251, device='cuda:2')
Round:  0 User: 7 Train Loss: 7.162
Norm:  tensor(3.0979, device='cuda:2')
Round:  0 User: 8 Train Loss: 7.097
Norm:  tensor(3.2670, device='cuda:2')
Round:  0 User: 9 Train Loss: 7.051
Norm:  tensor(3.1797, device='cuda:2')
Round:  0 User: 10 Train Loss: 7.048
Norm:  tensor(3.1752, device='cuda:2')
Round:  0 User: 11 Train Loss: 7.086
Norm:  tensor(3.1405, device='cuda:2')
Round:  0 User: 12 Train Loss: 7.137
Norm:  tensor(3.1541, device='cuda:2')
Round:  0 User: 13 Train Loss: 6.947
Norm:  tensor(3.2431, device='cuda:2')
Round:  0 User: 14 Train Loss: 7.166
Norm:  tensor(3.1762, device='cuda:2')
Round:  0 User: 15 Train Loss: 7.056
Norm:  tensor(3.2140, device='cuda:2')
Round:  0 User: 16 Train Loss: 6.949
Norm:  tensor(3.0543, device='cuda:2')
Round:  0 User: 17 Train Loss: 7.045
Norm:  tensor(3.2411, device='cuda:2')
Round:  0 User: 18 Train Loss: 7.003
Norm:  tensor(3.0407, device='cuda:2')
Round:  0 User: 19 Train Loss: 6.975
Norm:  tensor(3.2504, device='cuda:2')
Round:  0 User: 20 Train Loss: 7.152
Norm:  tensor(3.0782, device='cuda:2')
Round:  0 User: 21 Train Loss: 7.126
Norm:  tensor(3.3859, device='cuda:2')
Round:  0 User: 22 Train Loss: 7.083
Norm:  tensor(3.2112, device='cuda:2')
Round:  0 User: 23 Train Loss: 6.958
Norm:  tensor(3.1773, device='cuda:2')
Round:  0 User: 24 Train Loss: 6.957
Norm:  tensor(3.3539, device='cuda:2')
Round:  0 User: 25 Train Loss: 7.100
Norm:  tensor(3.3945, device='cuda:2')
Round:  0 User: 26 Train Loss: 7.133
Norm:  tensor(3.2119, device='cuda:2')
Round:  0 User: 27 Train Loss: 7.047
Norm:  tensor(3.2283, device='cuda:2')
Round:  0 User: 28 Train Loss: 7.047
Norm:  tensor(3.1116, device='cuda:2')
Round:  0 User: 29 Train Loss: 7.213
Norm:  tensor(3.1309, device='cuda:2')
Round:  0 User: 30 Train Loss: 7.177
Norm:  tensor(3.2361, device='cuda:2')
Round:  0 User: 31 Train Loss: 7.051
Norm:  tensor(3.2898, device='cuda:2')
Round:  0 User: 32 Train Loss: 7.013
Norm:  tensor(3.3651, device='cuda:2')
Round:  0 User: 33 Train Loss: 6.955
Norm:  tensor(3.1511, device='cuda:2')
Round:  0 User: 34 Train Loss: 7.029
Norm:  tensor(3.2961, device='cuda:2')
Round:  0 User: 35 Train Loss: 7.078
Norm:  tensor(3.2418, device='cuda:2')
Round:  0 User: 36 Train Loss: 7.007
Norm:  tensor(3.0098, device='cuda:2')
Round:  0 User: 37 Train Loss: 7.207
Norm:  tensor(3.3784, device='cuda:2')
Round:  0 User: 38 Train Loss: 6.958
Norm:  tensor(3.0450, device='cuda:2')
Round:  0 User: 39 Train Loss: 7.107
Norm:  tensor(3.2764, device='cuda:2')
Round:  0 User: 40 Train Loss: 7.046
Norm:  tensor(3.1622, device='cuda:2')
Round:  0 User: 41 Train Loss: 6.871
Norm:  tensor(3.3726, device='cuda:2')
Round:  0 User: 42 Train Loss: 6.931
Norm:  tensor(3.1573, device='cuda:2')
Round:  0 User: 43 Train Loss: 6.922
Norm:  tensor(3.1913, device='cuda:2')
Round:  0 User: 44 Train Loss: 6.899
Norm:  tensor(3.2433, device='cuda:2')
Round:  0 User: 45 Train Loss: 7.037
Norm:  tensor(3.0538, device='cuda:2')
Round:  0 User: 46 Train Loss: 7.084
Norm:  tensor(3.2223, device='cuda:2')
Round:  0 User: 47 Train Loss: 7.022
Norm:  tensor(3.2208, device='cuda:2')
Round:  0 User: 48 Train Loss: 7.073
Norm:  tensor(3.1000, device='cuda:2')
Round:  0 User: 49 Train Loss: 7.057
Norm:  tensor(3.1427, device='cuda:2')
Round:  0 User: 50 Train Loss: 7.121
Norm:  tensor(3.1297, device='cuda:2')
Round:  0 User: 51 Train Loss: 7.073
Norm:  tensor(3.2287, device='cuda:2')
Round:  0 User: 52 Train Loss: 6.936
Norm:  tensor(3.1907, device='cuda:2')
Round:  0 User: 53 Train Loss: 7.071
Norm:  tensor(3.1490, device='cuda:2')
Round:  0 User: 54 Train Loss: 7.177
Norm:  tensor(3.2263, device='cuda:2')
Round:  0 User: 55 Train Loss: 6.974
Norm:  tensor(3.2665, device='cuda:2')
Round:  0 User: 56 Train Loss: 7.075
Norm:  tensor(3.2295, device='cuda:2')
Round:  0 User: 57 Train Loss: 7.012
Norm:  tensor(3.2821, device='cuda:2')
Round:  0 User: 58 Train Loss: 7.000
Norm:  tensor(3.2220, device='cuda:2')
Round:  0 User: 59 Train Loss: 7.006
Norm:  tensor(3.2068, device='cuda:2')
Round:  0 User: 60 Train Loss: 7.035
Norm:  tensor(3.1458, device='cuda:2')
Round:  0 User: 61 Train Loss: 7.065
Norm:  tensor(3.3559, device='cuda:2')
Round:  0 User: 62 Train Loss: 6.945
Norm:  tensor(3.3232, device='cuda:2')
Round:  0 User: 63 Train Loss: 7.017
Norm:  tensor(2.9820, device='cuda:2')
Round:  0 User: 64 Train Loss: 7.229
Norm:  tensor(3.3132, device='cuda:2')
Round:  0 User: 65 Train Loss: 7.013
Norm:  tensor(3.1107, device='cuda:2')
Round:  0 User: 66 Train Loss: 7.088
Norm:  tensor(3.2154, device='cuda:2')
Round:  0 User: 67 Train Loss: 7.110
Norm:  tensor(3.1427, device='cuda:2')
Round:  0 User: 68 Train Loss: 7.030
Norm:  tensor(3.1758, device='cuda:2')
Round:  0 User: 69 Train Loss: 7.088
Norm:  tensor(3.2433, device='cuda:2')
Round:  0 User: 70 Train Loss: 7.059
Norm:  tensor(3.1446, device='cuda:2')
Round:  0 User: 71 Train Loss: 7.032
Norm:  tensor(3.2738, device='cuda:2')
Round:  0 User: 72 Train Loss: 6.910
Norm:  tensor(3.2243, device='cuda:2')
Round:  0 User: 73 Train Loss: 7.096
Norm:  tensor(3.1036, device='cuda:2')
Round:  0 User: 74 Train Loss: 7.021
Norm:  tensor(3.0468, device='cuda:2')
Round:  0 User: 75 Train Loss: 7.023
Norm:  tensor(3.2802, device='cuda:2')
Round:  0 User: 76 Train Loss: 7.042
Norm:  tensor(3.1901, device='cuda:2')
Round:  0 User: 77 Train Loss: 6.991
Norm:  tensor(3.2107, device='cuda:2')
Round:  0 User: 78 Train Loss: 6.886
Norm:  tensor(3.1811, device='cuda:2')
Round:  0 User: 79 Train Loss: 7.006
Norm:  tensor(3.0908, device='cuda:2')
Round:  0 User: 80 Train Loss: 6.986
Norm:  tensor(3.2399, device='cuda:2')
Round:  0 User: 81 Train Loss: 7.150
Norm:  tensor(3.1968, device='cuda:2')
Round:  0 User: 82 Train Loss: 7.016
Norm:  tensor(3.1092, device='cuda:2')
Round:  0 User: 83 Train Loss: 7.061
Norm:  tensor(3.2123, device='cuda:2')
Round:  0 User: 84 Train Loss: 6.977
Norm:  tensor(3.1752, device='cuda:2')
Round:  0 User: 85 Train Loss: 7.002
Norm:  tensor(3.1211, device='cuda:2')
Round:  0 User: 86 Train Loss: 7.029
Norm:  tensor(3.2169, device='cuda:2')
Round:  0 User: 87 Train Loss: 6.969
Norm:  tensor(3.0779, device='cuda:2')
Round:  0 User: 88 Train Loss: 7.082
Norm:  tensor(3.2052, device='cuda:2')
Round:  0 User: 89 Train Loss: 7.046
Norm:  tensor(3.0443, device='cuda:2')
Round:  0 User: 90 Train Loss: 6.927
Norm:  tensor(3.2746, device='cuda:2')
Round:  0 User: 91 Train Loss: 6.933
Norm:  tensor(3.3682, device='cuda:2')
Round:  0 User: 92 Train Loss: 7.004
Norm:  tensor(3.1809, device='cuda:2')
Round:  0 User: 93 Train Loss: 6.981
Norm:  tensor(3.2280, device='cuda:2')
Round:  0 User: 94 Train Loss: 7.022
Norm:  tensor(3.2161, device='cuda:2')
Round:  0 User: 95 Train Loss: 6.973
Norm:  tensor(3.1672, device='cuda:2')
Round:  0 User: 96 Train Loss: 7.154
Norm:  tensor(3.3415, device='cuda:2')
Round:  0 User: 97 Train Loss: 7.029
Norm:  tensor(3.0918, device='cuda:2')
Round:  0 User: 98 Train Loss: 7.014
Norm:  tensor(3.3580, device='cuda:2')
Round:  0 User: 99 Train Loss: 6.961
Norm:  tensor(3.4396, device='cuda:2')
Round:  0 User: 100 Train Loss: 6.957
