nohup: ignoring input
cuda:2
Namespace(batch_size=3000, bn_sparsity=0.9, classes_per_user=10, clip_bound=1.8, clipping_style='all-layer', cluster_project_lr=0.03, cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.04, epochs=50, epsilon=8, feature_dim=128, global_lr=1.06, image_size=224, instance_project_lr=0.03, instance_temperature=0.5, kl_threshold=0.7, learning_rate=0.05, linear_sparsity=0.75, local_epoch=2, loss_KL=0.5, mini_bs=300, miu=0.05, miuh=0, miuw=0, model_path='save/Cifar-10-DPFL-ResNet18-noiid-classes_per_user6-noper', momentum=0.3, n_clients=20, num_class=10, r_conv=6, r_proj=16, reload=False, resnet='ResNet18_lora', resnet_lr=0.13, sample_ratio=1, seed=17, smooth_K=6, smooth_loss_radius=2, smooth_step=0, start_epoch=0, test_image_size=256, thou=0.1, trans_lr=0.02, weight_decay=1e-05, workers=8)
sigma: 3.67919921875
W.weight 5120 torch.Size([10, 512])
H.weight 600000 torch.Size([60000, 10])
tensor([5, 3, 1,  ..., 5, 0, 8]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.0003 ARI = 0.0000 F = 0.1076 ACC = 0.1051
Round:  0 User: 0 Train Loss: 720.222
Round:  0 User: 1 Train Loss: 715.316
Round:  0 User: 2 Train Loss: 728.515
Round:  0 User: 3 Train Loss: 715.362
Round:  0 User: 4 Train Loss: 721.847
Round:  0 User: 5 Train Loss: 713.868
Round:  0 User: 6 Train Loss: 728.911
Round:  0 User: 7 Train Loss: 725.861
Round:  0 User: 8 Train Loss: 720.375
Round:  0 User: 9 Train Loss: 717.100
Round:  0 User: 10 Train Loss: 716.897
Round:  0 User: 11 Train Loss: 719.683
Round:  0 User: 12 Train Loss: 712.025
Round:  0 User: 13 Train Loss: 725.413
Round:  0 User: 14 Train Loss: 720.750
Round:  0 User: 15 Train Loss: 717.071
Round:  0 User: 16 Train Loss: 723.054
Round:  0 User: 17 Train Loss: 714.815
Round:  0 User: 18 Train Loss: 723.678
Round:  0 User: 19 Train Loss: 722.764
count 20
updated norm:  tensor(73.1054, device='cuda:2')
tensor([8, 8, 8,  ..., 9, 0, 8]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.0055 ARI = 0.0022 F = 0.1141 ACC = 0.1209
Round:  1 User: 0 Train Loss: 566.060
Round:  1 User: 1 Train Loss: 558.592
Round:  1 User: 2 Train Loss: 573.483
Round:  1 User: 3 Train Loss: 553.079
Round:  1 User: 4 Train Loss: 565.636
Round:  1 User: 5 Train Loss: 552.514
Round:  1 User: 6 Train Loss: 570.936
Round:  1 User: 7 Train Loss: 558.530
Round:  1 User: 8 Train Loss: 565.559
Round:  1 User: 9 Train Loss: 557.198
Round:  1 User: 10 Train Loss: 567.962
Round:  1 User: 11 Train Loss: 564.034
Round:  1 User: 12 Train Loss: 551.085
Round:  1 User: 13 Train Loss: 583.658
Round:  1 User: 14 Train Loss: 568.617
Round:  1 User: 15 Train Loss: 559.828
Round:  1 User: 16 Train Loss: 570.638
Round:  1 User: 17 Train Loss: 572.218
Round:  1 User: 18 Train Loss: 563.013
Round:  1 User: 19 Train Loss: 574.404
count 20
updated norm:  tensor(33.5959, device='cuda:2')
tensor([8, 8, 8,  ..., 9, 8, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.0155 ARI = 0.0014 F = 0.1773 ACC = 0.1217
Round:  2 User: 0 Train Loss: 440.277
Round:  2 User: 1 Train Loss: 444.370
Round:  2 User: 2 Train Loss: 442.090
Round:  2 User: 3 Train Loss: 437.307
Round:  2 User: 4 Train Loss: 441.888
